@relation pedalme_edges

@attribute from numeric
@attribute to numeric
@attribute weight numeric

@data
0,0,1
0,1,0.425459
0,2,0.157355
0,3,0.2065
0,4,0.564148
0,5,0.518598
0,6,0.400426
0,7,0.026682
0,8,0.224675
0,9,0.501219
0,10,0.645035
0,11,0.3018
0,12,0.220871
0,13,0.291274
0,14,0.295279
1,0,0.425459
1,1,1
1,2,0.067514
1,3,0.261964
1,4,0.378062
1,5,0.304322
1,6,0.49569
1,7,0.01264
1,8,0.473551
1,9,0.214673
1,10,0.644028
1,11,0.140524
1,12,0.119964
1,13,0.236932
1,14,0.515659
2,0,0.157355
2,1,0.067514
2,2,1
2,3,0.057983
2,4,0.124483
2,5,0.181623
2,6,0.083991
2,7,0.129952
2,8,0.039432
2,9,0.313895
2,10,0.104454
2,11,0.273024
2,12,0.265396
2,13,0.084781
2,14,0.048963
3,0,0.2065
3,1,0.261964
3,2,0.057983
3,3,1
3,4,0.127865
3,5,0.299487
3,6,0.494137
3,7,0.019349
3,8,0.364074
3,9,0.1441
3,10,0.271765
3,11,0.065985
3,12,0.181614
3,13,0.069259
3,14,0.137277
4,0,0.564148
4,1,0.378062
4,2,0.124483
4,3,0.127865
4,4,1
4,5,0.293143
4,6,0.257674
4,7,0.018189
4,8,0.17957
4,9,0.36075
4,10,0.466997
4,11,0.347337
4,12,0.131151
4,13,0.516061
4,14,0.376036
5,0,0.518598
5,1,0.304322
5,2,0.181623
5,3,0.299487
5,4,0.293143
5,5,1
5,6,0.459266
5,7,0.041123
5,8,0.210354
5,9,0.478751
5,10,0.455036
5,11,0.20946
5,12,0.392651
5,13,0.151722
5,14,0.17483
6,0,0.400426
6,1,0.49569
6,2,0.083991
6,3,0.494137
6,4,0.257674
6,5,0.459266
6,6,1
6,7,0.0201
6,8,0.453139
6,9,0.243265
6,10,0.549739
6,11,0.122223
6,12,0.201216
6,13,0.140141
6,14,0.255681
7,0,0.026682
7,1,0.01264
7,2,0.129952
7,3,0.019349
7,4,0.018189
7,5,0.041123
7,6,0.0201
7,7,1
7,8,0.009157
7,9,0.050204
7,10,0.019388
7,11,0.035508
7,12,0.099737
7,13,0.011377
7,14,0.007879
8,0,0.224675
8,1,0.473551
8,2,0.039432
8,3,0.364074
8,4,0.17957
8,5,0.210354
8,6,0.453139
8,7,0.009157
8,8,1
8,9,0.120345
8,10,0.346973
8,11,0.069323
8,12,0.091814
8,13,0.114365
8,14,0.301796
9,0,0.501219
9,1,0.214673
9,2,0.313895
9,3,0.1441
9,4,0.36075
9,5,0.478751
9,6,0.243265
9,7,0.050204
9,8,0.120345
9,9,1
9,10,0.331044
9,11,0.421038
9,12,0.325344
9,13,0.208669
9,14,0.152303
10,0,0.645035
10,1,0.644028
10,2,0.104454
10,3,0.271765
10,4,0.466997
10,5,0.455036
10,6,0.549739
10,7,0.019388
10,8,0.346973
10,9,0.331044
10,10,1
10,11,0.19897
10,12,0.178816
10,13,0.254303
10,14,0.382945
11,0,0.3018
11,1,0.140524
11,2,0.273024
11,3,0.065985
11,4,0.347337
11,5,0.20946
11,6,0.122223
11,7,0.035508
11,8,0.069323
11,9,0.421038
11,10,0.19897
11,11,1
11,12,0.146799
11,13,0.295017
11,14,0.13162
12,0,0.220871
12,1,0.119964
12,2,0.265396
12,3,0.181614
12,4,0.131151
12,5,0.392651
12,6,0.201216
12,7,0.099737
12,8,0.091814
12,9,0.325344
12,10,0.178816
12,11,0.146799
12,12,1
12,13,0.070699
12,14,0.069
13,0,0.291274
13,1,0.236932
13,2,0.084781
13,3,0.069259
13,4,0.516061
13,5,0.151722
13,6,0.140141
13,7,0.011377
13,8,0.114365
13,9,0.208669
13,10,0.254303
13,11,0.295017
13,12,0.070699
13,13,1
13,14,0.329838
14,0,0.295279
14,1,0.515659
14,2,0.048963
14,3,0.137277
14,4,0.376036
14,5,0.17483
14,6,0.255681
14,7,0.007879
14,8,0.301796
14,9,0.152303
14,10,0.382945
14,11,0.13162
14,12,0.069
14,13,0.329838
14,14,1
